areageografica,regione,provincia,codiceistitutoriferimento,denominazioneistitutoriferimento,codicescuola,denominazionescuola,codicecomunescuola,descrizionecomune,descrizionecaratteristicascuola,descrizionetipologiagradoistruzionescuola
SUD,ABRUZZO,PESCARA,PETD03000D,"ITC-ITT-ITG ""G. MARCONI"" - PENNE",PETD03000D,"ITC-ITT-ITG ""G. MARCONI"" - PENNE",G438,PENNE,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI
CENTRO,UMBRIA,PERUGIA,PGIS00300E,"I.O. ""SALVATORELLI-MONETA""",PGPS003011,"""SALVATORELLI-MONETA"" LICEO",E975,MARSCIANO,NORMALE,LICEO SCIENTIFICO
CENTRO,UMBRIA,PERUGIA,PGIS014001,"I.I.S. ""LEONARDO DA VINCI""",PGRC01401X,UMBERTIDE,D786,UMBERTIDE,NORMALE,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
CENTRO,UMBRIA,PERUGIA,PGTD12000A,MAGIONE,PGTD12000A,MAGIONE,E805,MAGIONE,NORMALE,ISTITUTO TECNICO COMMERCIALE
CENTRO,TOSCANA,PISA,PIPM030002,GIOSUE' CARDUCCI,PIPM030002,GIOSUE' CARDUCCI,G702,PISA,NORMALE,ISTITUTO MAGISTRALE
NORD EST,FRIULI-VENEZIA G.,PORDENONE,PNIS00200X,IS G.A. PUJATI,PNPM00201B,"""G.A. PUJATI""",H657,SACILE,NORMALE,ISTITUTO MAGISTRALE
CENTRO,MARCHE,PESARO E URBINO,PSIS00100B,"OMNICOMPRENSIVO ""MONTEFELTRO""",PSRF001014,"I.P.S.S.A.S. ""MONTEFELTRO""",M413,SASSOCORVARO AUDITORE,NORMALE,IST PROF PER I SERVIZI SOCIALI
CENTRO,MARCHE,PESARO E URBINO,PSSD07000N,"LICEO ARTISTICO ""F. MENGARONI""",PSSD07000N,"LICEO ARTISTICO ""F. MENGARONI""",G479,PESARO,SCUOLA ANNESSA,ISTITUTO D'ARTE
CENTRO,MARCHE,PESARO E URBINO,PSIS01300N,"I.I.S. ""ANTONIO CECCHI""",PSTA01301D,"I.T.A. ""A. CECCHI""",G479,PESARO,CONVITTO ANNESSO,ISTITUTO TECNICO AGRARIO
CENTRO,TOSCANA,PISTOIA,PTRA010008,"IST.PROF ""DE' FRANCESCHI - A.PACINOTTI""",PTRA010008,"IST.PROF ""DE' FRANCESCHI - A.PACINOTTI""",G713,PISTOIA,CONVITTO ANNESSO,IST PROF PER L'AGRICOLTURA E L'AMBIENTE
NORD OVEST,LOMBARDIA,PAVIA,PVIS00800X,IIS CALVI - VOGHERA,PVRC00801V,IT TECNOLOGICO E IP SERVIZI - C. CALVI,M109,VOGHERA,NORMALE,IST PROF PER I SERVIZI COMMERCIALI
SUD,BASILICATA,POTENZA,PZIS007006,"I.I.S. ""TEN. R. RIGHETTI"" MELFI",PZRI00702V,I.P. TENENTE RIGHETTI PESCOPAGANO,G496,PESCOPAGANO,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,EMILIA ROMAGNA,REGGIO EMILIA,REIS01600Q,"""BLAISE PASCAL""",REPS016016,"LICEO ""BLAISE PASCAL""",H223,REGGIO NELL'EMILIA,NORMALE,LICEO SCIENTIFICO
ISOLE,SICILIA,RAGUSA,RGIS00200C,GAETANO CURCIO,RGRI00250C,I.P.S.I.A. G. CURCIO - SERALE,E366,ISPICA,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ARTIGIANATO
CENTRO,LAZIO,ROMA,RMPC030006,ANCO MARZIO,RMPC030006,ANCO MARZIO,H501,ROMA,NORMALE,LICEO CLASSICO
CENTRO,LAZIO,ROMA,RMTF090003,G. GALILEI,RMTF090003,G. GALILEI,H501,ROMA,NORMALE,ISTITUTO TECNICO INDUSTRIALE
NORD EST,EMILIA ROMAGNA,RIMINI,RNRH030001,"I.P.S.S.E.O.A. ""S.P. MALATESTA""",RNRH03050A,"""S.P. MALATESTA"" SERALE",H294,RIMINI,PERCORSO II LIVELLO,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
SUD,CAMPANIA,SALERNO,SAIS046001,"""GALILEI-DI PALO"" - SALERNO",SATF04601D,"""G. GALILEI""",H703,SALERNO,NORMALE,ISTITUTO TECNICO INDUSTRIALE
NORD OVEST,LIGURIA,LA SPEZIA,SPIS01100V,"""PARENTUCELLI-ARZELA'""",SPPC011016,".""PARENTUCELLI"" CON SEZ. SCIEN",I449,SARZANA,NORMALE,LICEO CLASSICO
ISOLE,SARDEGNA,SASSARI,SSRH07000E,I.P.S.A.R - COSTA SMERALDA DI ARZACHENA,SSRH07050X,ARZACHENA,A453,ARZACHENA,PERCORSO II LIVELLO,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE
ISOLE,SARDEGNA,SASSARI,SSIS022002,I.I.S.T.C.G. - DON GAVINO PES TEMPIO,SSRI02201N,N. FERRACCIU,B378,CALANGIANUS,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
ISOLE,SARDEGNA,SASSARI,SSSL030007,"LICEO ARTISTICO - ""FABRIZIO DE ANDRE' """,SSSL030029,LICEO ARTISTICO - C.RECLUSIONE NUCHIS,L093,TEMPIO PAUSANIA,SPEC. PER CARCERARI,LICEO ARTISTICO
SUD,ABRUZZO,TERAMO,TEIS01100D,I.I.S. CROCETTI V. CERULLI,TERI011015,I.P.I.A. GIULIANOVA PAGLIACCETTI,E058,GIULIANOVA,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,PIEMONTE,TORINO,TOIS04700R,I.I.S. GALILEI - FERRARI,TORI04752V,G. GALILEI SERALE,L219,TORINO,PERCORSO II LIVELLO,IST PROF INDUSTRIA E ARTIGIANATO
NORD OVEST,PIEMONTE,TORINO,TOIS03400P,I.I.S. CURIE - VITTORINI,TOTL03401B,I.I.S CURIE-VITTORINI,E216,GRUGLIASCO,NORMALE,ISTITUTO TECNICO PER GEOMETRI
ISOLE,SICILIA,TRAPANI,TPIS02100E,"I.S. ""G.B.FERRIGNO V. ACCARDI""",TPTL02151L,ISTITUTO TECNICO PER GEOMETRI,B521,CAMPOBELLO DI MAZARA,PERCORSO II LIVELLO,ISTITUTO TECNICO PER GEOMETRI
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS01300A,DELLA BASSA FRIULANA,UDRC013019,ENRICO MATTEI,G284,PALMANOVA,NORMALE,IST PROF PER I SERVIZI COMMERCIALI
NORD EST,FRIULI-VENEZIA G.,UDINE,UDIS014006,F.SOLARI,UDRI01401T,"IPSIA ""A. CANDONI"" TOLMEZZO",L195,TOLMEZZO,NORMALE,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,VENETO,VICENZA,VIIS006006,IIS M. RIGONI STERN,VIRI00601T,MARIO RIGONI STERN,A465,ASIAGO,CONVITTO ANNESSO,IST PROF INDUSTRIA E ARTIGIANATO
NORD EST,VENETO,VICENZA,VIIS013009,IIS A. CANOVA,VISL01302N,LICEO ARTISTICO 'CANOVA' CARCERARIA,L840,VICENZA,SPEC. PER CARCERARI,LICEO ARTISTICO
NORD EST,VENETO,VERONA,VRIS00400V,"""M.O. LUCIANO DAL CERO""",VRTD004015,ISISS M.O. LUCIANO DAL CERO,H783,SAN BONIFACIO,NORMALE,IST TEC COMMERCIALE E PER GEOMETRI
